LCSH,NULA,Source
African American sexual minorities,African American LGBTQ+ people,Homosaurus
African American sexual minority students,African American LGBTQ+ students,Modeled on Homosaurus
African American sexual minority youth,African American LGBTQ+ youth,Modeled on Homosaurus
Alaska Native sexual minorities,Alaska Native LGBTQ+ people,Modeled on Homosaurus
Alaska Native sexual minority students,Alaska Native LGBTQ+ students,Modeled on Homosaurus
Alaska Native sexual minority youth,Alaska Native LGBTQ+ youth,Modeled on Homosaurus
Arab American sexual minorities,Arab American LGBTQ+ people,Modeled on Homosaurus
Asian American sexual minorities, Asian American LGBTQ+ people,Homosaurus
Asian American sexual minority students, Asian American LGBTQ+ students,Modeled on Homosaurus
Catholic sexual minorities,LGBTQ+ Roman Catholics,Homosaurus
Children of sexual minority parents,Children of LGBTQ+ people,Homosaurus
Christian sexual minorities,LGBTQ+ Christians,Homosaurus
Church work with sexual minorities,Church work with LGBTQ+ people,Modeled on Homosaurus
Church work with sexual minority youth,Church work with LGBTQ+ youth,Modeled on Homosaurus
Hispanic American sexual minorities,Hispanic American LGBTQ+ people,Modeled on Homosaurus
Hispanic American sexual minority students,Hispanic American LGBTQ+ students,Modeled on Homosaurus
Hispanic American sexual minority youth,Hispanic American LGBTQ+ youth,Modeled on Homosaurus
Indian sexual minorities,Native American LGBTQ+ people,Homosaurus
Jewish sexual minorities,Jewish LGBTQ+ people,Homosaurus
Libraries and sexual minorities,Libraries and LGBTQ+ people,Modeled on Homosaurus
Middle-aged sexual minorities,Middle-aged LGBTQ+ people,Modeled on Homosaurus
Museums and sexual minorities,Museums and LGBTQ+ people, Modeled on Homosaurus
Older sexual minorities,LGBTQ+ older people,Homosaurus
Older sexual minority women,Older LGBTQ+ women, Modeled on Homosaurus
Pacific Islander American sexual minorities,Pacific Islander American LGBTQ+ people,Homosaurus
Pacific Islander American sexual minority students,Pacific Islander American LGBTQ+ students, Modeled on Homosaurus
Pacific Islander American sexual minority youth,Pacific Islander American LGBTQ+ youth,Modeled on Homosaurus
Parents of sexual minority youth,Parents of LGBTQ+ youth,Modeled on Homosaurus
Police services for sexual minorities,Police services for LGBTQ+ people,Modeled on Homosaurus
Rural sexual minorities,Rural LGBTQ+ people,Modeled on Homosaurus
Sexual minorities, Black,Black LGBTQ+ people,Homosaurus
Sexual minorities,LGBTQ+ people,Homosaurus
Sexual minorities (Islamic law),LGBTQ+ people (Islamic law),Modeled on Homosaurus
Sexual minorities -- United States,LGBTQ+ people -- United States, Homosaurus
Sexual minorities' families,LGBTQ+ families,Homosaurus
Sexual minorities in advertising,LGBTQ+ people in advertising,Modeled on Homosaurus
Sexual minorities in art,LGBTQ+ people in art,Modeled on Homosaurus
Sexual minorities in comics,LGBTQ+ people in comics,Modeled on Homosaurus
Sexual minorities in education,LGBTQ+ people in education,Modeled on Homosaurus
Sexual minorities in higher education,LGBTQ+ people in higher education,Modeled on Homosaurus
Sexual minorities in literature,LGBTQ+ people in literature,Modeled on Homosaurus 
Sexual minorities in mass media,LGBTQ+ people in mass media,Modeled on Homosaurus
Sexual minorities in motion pictures,LGBTQ+ people in motion pictures,Modeled on Homosaurus
Sexual minorities in popular culture,LGBTQ+ people in popular culture,Modeled on Homosaurus
Sexual minorities on television,LGBTQ+ people on television,Modeled on Homosaurus 
Sexual minorities with disabilities,LGBTQ+ disabled people,Homosaurus 
Sexual minorities' writings,LGBTQ+ authors,Homosaurus 
Sexual minorities' writings, American,LGBTQ+ authors, American,Modeled on Homosaurus
Sexual minorities' writings, Australian,LGBTQ+ authors, Australian,Modeled on Homosaurus
Sexual minorities' writings, Brazilian,LGBTQ+ authors, Brazilian,Modeled on Homosaurus 
Sexual minorities' writings, Canadian,LGBTQ+ authors, Canadian,Modeled on Homosaurus
Sexual minorities' writings, English,LGBTQ+ authors, English,Modeled on Homosaurus 
Sexual minorities' writings, Malaysian,LGBTQ+ authors, Malaysian,Modeled on Homosaurus
Sexual minority business enterprises,LGBTQ+-owned businesses,Modeled on Homosaurus
Sexual minority college athletes,LGBTQ+ college athletes,Modeled on Homosaurus
Sexual minority college students,LGBTQ+ college students,Homosaurus
Sexual minority community,LGBTQ+ communities,Homosaurus
Sexual minority consumers,LGBTQ+ consumers,Modeled on Homosaurus
Sexual minority culture,LGBTQ+ culture,Homosaurus
Sexual minority immigrants,LGBTQ+ immigrants,Homosaurus
Sexual minority legislators,LGBTQ+ politicians,Homosaurus
Sexual minority men,LGBTQ+ men,Modeled on Homosaurus
Sexual minority military personnel,LGBTQ+ people in the military, Homosaurus
Sexual minority parents,LGBTQ+ parents,Homosaurus
Sexual minority political candidates, LGBTQ+ political candidates,Modeled on Homosaurus
Sexual minority political refugees,LGBTQ+ political refugees,Modeled on Homosaurus
Sexual minority politicians,LGBTQ+ politicians,Homosaurus
Sexual minority public officers,LGBTQ+ public officers,Modeled on Homosaurus
Sexual minority religious leaders,LGBTQ+ religious leaders,Modeled on Homosaurus
Sexual minority students,LGBTQ+ students,Modeled on Homosaurus
